iter	Passed	Remaining
0	1	1537
1	2	1024
2	3	1106
3	3	944
4	4	884
5	5	833
6	5	796
7	6	762
8	6	731
9	7	711
10	8	774
11	9	751
12	9	728
13	10	714
14	10	701
15	11	700
16	11	691
17	12	687
18	13	676
19	13	668
20	14	659
21	14	651
22	15	644
23	15	639
24	16	632
25	16	634
26	17	630
27	18	625
28	18	625
29	19	620
30	19	615
31	21	635
32	21	634
33	22	630
34	22	627
35	23	622
36	23	617
37	24	613
38	24	610
39	25	609
40	25	605
41	26	603
42	27	604
43	27	601
44	28	599
45	28	595
46	29	592
47	30	605
48	31	603
49	31	600
50	32	597
51	32	594
52	33	591
53	33	589
54	34	587
55	34	587
56	35	584
57	35	582
58	36	579
59	37	589
60	38	587
61	38	584
62	39	582
63	39	580
64	40	578
65	40	577
66	41	575
67	41	573
68	42	571
69	42	570
70	43	568
71	44	570
72	44	569
73	45	566
74	45	564
75	46	563
76	46	561
77	47	560
78	47	558
79	49	565
80	49	563
81	50	562
82	50	560
83	51	558
84	51	556
85	52	555
86	52	554
87	53	552
88	53	550
89	54	549
90	54	548
91	55	548
92	56	547
93	56	546
94	57	545
95	57	544
96	58	542
97	58	541
98	60	548
99	60	547
100	61	546
101	62	546
102	62	545
103	63	543
104	63	542
105	64	541
106	64	541
107	65	539
108	65	537
109	66	536
110	66	535
111	67	535
112	68	533
113	68	533
114	69	531
115	69	531
116	70	529
117	70	528
118	71	527
119	71	526
120	72	524
121	72	523
122	73	523
123	74	522
124	74	522
125	75	521
126	75	521
127	76	520
128	76	519
129	77	518
130	77	517
131	78	516
132	79	515
133	79	515
134	81	519
135	82	524
136	83	524
137	83	523
138	84	521
139	84	521
140	85	520
141	85	518
142	86	518
143	86	517
144	87	516
145	88	514
146	88	513
147	89	512
148	89	511
149	90	511
150	90	510
151	91	509
152	91	508
153	92	507
154	92	506
155	94	509
156	94	508
157	95	507
158	95	506
159	96	506
160	97	505
161	97	504
162	98	504
163	98	503
164	99	502
165	99	501
166	100	500
167	100	499
168	101	499
169	102	498
170	102	496
171	102	495
172	103	494
173	104	493
174	104	492
175	105	491
176	105	491
177	106	490
178	106	489
179	107	488
180	107	488
181	108	487
182	108	486
183	109	485
184	110	484
185	110	484
186	111	483
187	111	482
188	112	481
189	112	480
190	113	480
191	114	480
192	114	479
193	115	478
194	115	477
195	116	476
196	116	475
197	117	474
198	117	474
199	118	473
200	119	475
201	120	474
202	120	474
203	121	473
204	122	475
205	123	474
206	123	473
207	124	473
208	124	472
209	125	471
210	125	470
211	126	469
212	126	469
213	127	468
214	128	467
215	129	469
216	129	468
217	130	468
218	131	467
219	132	469
220	133	469
221	133	468
222	134	467
223	134	467
224	135	466
225	135	465
226	136	464
227	136	463
228	137	463
229	138	464
230	139	463
231	139	462
232	140	461
233	140	461
234	141	460
235	142	462
236	143	461
237	143	460
238	144	460
239	145	459
240	145	459
241	146	458
242	146	457
243	147	456
244	147	455
245	148	454
246	149	456
247	150	455
248	150	454
249	151	453
250	151	452
251	152	452
252	152	451
253	153	450
254	154	449
255	154	449
256	155	448
257	155	447
258	156	446
259	156	446
260	157	445
261	158	446
262	158	445
263	159	444
264	159	443
265	160	442
266	160	441
267	161	441
268	162	440
269	162	439
270	163	438
271	163	437
272	163	436
273	164	435
274	165	435
275	165	434
276	167	435
277	167	435
278	168	434
279	169	435
280	170	435
281	170	434
282	171	433
283	171	432
284	172	432
285	172	431
286	173	430
287	173	429
288	174	429
289	174	428
290	175	427
291	176	427
292	176	426
293	177	425
294	177	424
295	178	424
296	178	423
297	179	422
298	180	422
299	180	421
300	181	421
301	181	420
302	182	419
303	182	418
304	183	418
305	184	417
306	184	416
307	185	416
308	185	415
309	187	416
310	187	415
311	188	415
312	189	414
313	189	414
314	190	414
315	191	413
316	191	412
317	192	412
318	192	411
319	193	410
320	193	409
321	194	409
322	195	410
323	196	409
324	196	408
325	197	408
326	198	407
327	198	406
328	199	406
329	199	406
330	200	405
331	201	404
332	201	403
333	202	402
334	202	402
335	203	401
336	203	400
337	204	399
338	204	398
339	205	398
340	205	397
341	206	397
342	206	396
343	207	395
344	208	395
345	208	394
346	209	394
347	210	393
348	210	392
349	211	392
350	212	392
351	213	392
352	213	391
353	214	390
354	214	390
355	215	389
356	215	388
357	216	388
358	217	387
359	217	386
360	218	386
361	218	385
362	219	384
363	219	383
364	220	383
365	220	382
366	221	381
367	221	381
368	222	380
369	223	379
370	223	379
371	224	378
372	224	377
373	225	377
374	225	376
375	226	375
376	227	375
377	227	374
378	228	373
379	228	372
380	229	372
381	229	371
382	230	371
383	230	370
384	231	369
385	231	368
386	232	368
387	232	367
388	233	366
389	234	366
390	234	365
391	235	364
392	235	364
393	236	363
394	236	362
395	237	362
396	238	361
397	238	360
398	239	360
399	239	359
400	240	358
401	240	357
402	241	357
403	241	356
404	242	356
405	242	355
406	243	354
407	243	353
408	244	352
409	244	352
410	245	351
411	246	351
412	246	350
413	247	349
414	247	349
415	249	349
416	250	350
417	250	349
418	251	348
419	251	347
420	252	347
421	253	346
422	253	346
423	254	345
424	254	344
425	255	344
426	255	343
427	257	343
428	257	343
429	258	342
430	259	341
431	259	341
432	260	340
433	260	339
434	261	339
435	261	338
436	262	337
437	262	337
438	263	336
439	264	336
440	265	336
441	265	335
442	266	335
443	266	334
444	268	334
445	268	333
446	269	333
447	269	332
448	270	331
449	270	331
450	271	330
451	272	329
452	273	329
453	273	329
454	274	328
455	274	327
456	275	327
457	276	326
458	276	326
459	277	325
460	277	324
461	278	324
462	279	324
463	280	323
464	281	323
465	281	323
466	282	322
467	283	321
468	283	321
469	284	320
470	284	319
471	285	319
472	285	318
473	286	317
474	287	317
475	287	316
476	288	316
477	288	315
478	289	314
479	290	314
480	290	313
481	291	312
482	291	312
483	292	311
484	292	310
485	293	310
486	293	309
487	294	308
488	295	308
489	296	308
490	296	307
491	297	307
492	298	306
493	298	305
494	299	305
495	299	304
496	300	303
497	300	303
498	301	302
499	301	301
500	302	301
501	303	300
502	303	300
503	304	299
504	304	298
